MONTHS,STATE,FF_DEATH,OTH_DEATH,DEATH,CNT,PROP_LOSS,CONT_LOSS
2006-01-01,AK,0,4,4,76,1.94424,0.67815
2006-01-01,AL,0,1,1,494,2.403001,1.139625
2006-01-01,AR,0,4,4,854,4.745915,1.405443
2006-01-01,AZ,0,0,0,801,6.434855,1.568866
2006-01-01,CA,0,9,9,1793,26.028781,9.267085
2006-01-01,CO,0,0,0,279,11.751114,2.517224
2006-01-01,CT,0,0,0,234,4.224951,0.840951
2006-01-01,DE,0,0,0,90,0.62585,0.27011
2006-01-01,FL,0,6,6,1485,24.207242,4.436248
2006-01-01,GA,0,5,5,657,9.790499,2.129847
2006-01-01,HI,0,0,0,26,0.871,0.11705
2006-01-01,IA,0,1,1,144,1.149432,0.35225
2006-01-01,ID,0,1,1,82,2.35231,1.16775
2006-01-01,IL,1,5,6,716,11.829352,3.223228
2006-01-01,IN,0,4,4,440,3.635973,1.140806
2006-01-01,KS,0,1,1,448,2.880104,1.05832
2006-01-01,KY,0,6,6,473,4.00159,1.84652
2006-01-01,LA,0,1,1,412,4.094059,1.066309
2006-01-01,MA,0,2,2,451,9.172423,1.854163
2006-01-01,MD,0,1,1,341,6.117158,0.635033
2006-01-01,ME,0,0,0,99,0.7246,0.25485
2006-01-01,MI,0,6,6,576,24.566497,7.101359
2006-01-01,MN,0,10,10,280,6.222811,1.33435
2006-01-01,MO,0,6,6,891,4.803862,1.469522
2006-01-01,MS,0,8,8,1722,6.607133,2.292584
2006-01-01,MT,0,0,0,49,0.508115,0.1445
2006-01-01,NC,0,5,5,592,7.0212,2.31379
2006-01-01,ND,0,0,0,25,0.43865,0.15725
2006-01-01,NE,0,0,0,129,1.081115,0.260312
2006-01-01,NH,0,0,0,68,1.617435,0.30685
2006-01-01,NJ,0,5,5,353,0.822502,0.36727
2006-01-01,NM,1,0,1,119,0.430656,0.08795
2006-01-01,NV,0,2,2,105,1.623,0.193965
2006-01-01,NY,0,3,3,1583,2.501147,0.890306
2006-01-01,OH,0,9,9,1038,11.341193,3.1035
2006-01-01,OK,0,7,7,1130,8.845798,1.979694
2006-01-01,OR,0,0,0,325,2.841969,0.81007
2006-01-01,PA,0,4,4,250,3.342475,1.449425
2006-01-01,SC,0,7,7,548,7.718578,1.434642
2006-01-01,SD,0,0,0,29,0.1094,0.01195
2006-01-01,TN,0,1,1,1070,11.538091,3.902288
2006-01-01,TX,0,14,14,3450,25.822658,6.278424
2006-01-01,UT,0,0,0,82,2.524975,0.4719
2006-01-01,VA,0,6,6,762,15.40453,4.695399
2006-01-01,VT,0,0,0,49,0.66585,0.32812
2006-01-01,WA,0,4,4,392,8.243076,1.98834
2006-01-01,WI,0,2,2,138,1.128252,0.444861
2006-01-01,WV,0,6,6,315,6.270108,2.356095
2006-01-01,WY,0,0,0,26,0.4202,0.1449
2006-02-01,AK,0,2,2,58,1.765192,0.47315
2006-02-01,AL,0,3,3,344,3.48665,0.7397
2006-02-01,AR,0,4,4,683,6.95158,1.882848
2006-02-01,AZ,0,0,0,704,4.644157,1.243636
2006-02-01,CA,0,7,7,1488,20.366269,5.572609
2006-02-01,CO,0,0,0,238,3.486299,0.889305
2006-02-01,CT,0,0,0,256,3.973841,0.579475
2006-02-01,DE,0,1,1,72,0.658001,0.411742
2006-02-01,FL,0,7,7,1441,12.596682,3.39684
2006-02-01,GA,0,8,8,498,5.545526,1.855691
2006-02-01,HI,0,0,0,26,0.9658,0.23052
2006-02-01,IA,0,4,4,166,1.06207,0.507005
2006-02-01,ID,0,2,2,100,1.970482,0.70075
2006-02-01,IL,2,5,7,944,12.032744,2.623894
2006-02-01,IN,0,3,3,482,3.416773,1.149015
2006-02-01,KS,0,6,6,433,3.265915,1.246015
2006-02-01,KY,0,2,2,565,4.387746,1.612967
2006-02-01,LA,0,0,0,351,5.51953,1.362926
2006-02-01,MA,0,6,6,443,8.189226,1.813715
2006-02-01,MD,0,1,1,322,7.514897,1.874578
2006-02-01,ME,0,5,5,95,1.5781,1.15858
2006-02-01,MI,0,7,7,563,13.41813,5.145352
2006-02-01,MN,0,5,5,304,9.60215,1.98191
2006-02-01,MO,0,6,6,1062,5.354703,2.173819
2006-02-01,MS,0,1,1,988,10.50094,2.532426
2006-02-01,MT,0,0,0,73,0.5545,0.19737
2006-02-01,NC,0,1,1,654,5.760757,1.584984
2006-02-01,ND,0,1,1,28,0.375675,0.233
2006-02-01,NE,0,4,4,123,0.794289,0.411352
2006-02-01,NH,0,0,0,60,0.5349,0.19205
2006-02-01,NJ,0,5,5,394,2.791752,0.903975
2006-02-01,NM,0,0,0,80,0.3234,0.053
2006-02-01,NV,0,0,0,96,1.6541,0.463155
2006-02-01,NY,0,8,8,1568,4.9168,2.246988
2006-02-01,OH,0,11,11,1046,13.153542,3.908629
2006-02-01,OK,0,1,1,740,8.151965,1.62806
2006-02-01,OR,0,2,2,432,6.068157,1.797017
2006-02-01,PA,0,3,3,230,2.72489,0.992181
2006-02-01,SC,0,7,7,413,3.969667,0.850816
2006-02-01,SD,0,1,1,39,0.569,0.05
2006-02-01,TN,0,9,9,960,12.485034,3.911841
2006-02-01,TX,0,15,15,2424,19.692779,6.322834
2006-02-01,UT,0,1,1,88,1.910825,0.4242
2006-02-01,VA,0,5,5,869,16.099158,2.900101
2006-02-01,VT,0,1,1,43,0.4895,0.16227
2006-02-01,WA,0,6,6,458,9.415707,2.68852
